ID;Civilité;Prénom;Nom;Email;Téléphone;Adresse;Commune;Code Postal;Statut;Tranche âge;Besoin identifié;Segment emailing;Score priorité;Statut campagne;Email envoyé;Ouvert;Cliqué;Répondu;Notes
LEAD-085;Mme;Catherine;Perrin;c.perrin@yahoo.fr;07 19 92 21 88;77 Montée du Lavoir, 69640 Denicé;Denicé;69640;Propriétaire maison de village;30-40 ans;Rénovation cuisine bois;Menuiseries extérieures;99;À contacter;Non;;;;
LEAD-104;M.;Robert;Lambert;robertlambert@orange.fr;07 21 97 50 95;45 Avenue Voltaire, 69600 Oullins;Oullins;69600;Propriétaire maison ancienne;50-60 ans;Restauration parquet ancien;Sur mesure / dressing;99;À contacter;Non;;;;
LEAD-148;M.;Julien;Sanchez;julien.sanchez82@gmail.com;07 39 55 80 58;56 Chemin des Amandiers, 69620 Sainte-Paule;Sainte-Paule;69620;Propriétaire duplex;60-70 ans;Claustra / séparation bois;Rénovation intérieure;99;À contacter;Non;;;;
LEAD-165;Mme;Agnès;Renard;agnes57@outlook.fr;06 44 79 56 79;106 Rue des Acacias, 69620 Ternand;Ternand;69620;Propriétaire appartement;60-70 ans;Restauration parquet ancien;Rénovation intérieure;99;À contacter;Non;;;;
LEAD-232;Mme;Christelle;Roy;christelle.roy@gmail.com;06 43 93 50 11;91 Montée de la Source, 69620 Theizé;Theizé;69620;Propriétaire maison de village;45-55 ans;Porte coulissante sur mesure;Aménagement rangement;99;À contacter;Non;;;;
LEAD-248;Mme;Nicole;Caron;caron.nicole@laposte.net;07 58 24 59 42;70 Allée du Marché, 69630 Chaponost;Chaponost;69630;Propriétaire loft;55-65 ans;Terrasse bois;Restauration / ancien;99;À contacter;Non;;;;
LEAD-252;Mme;Catherine;Lopez;c.lopez@gmail.com;06 46 66 58 60;106 Rue du 8 Mai 1945, 69620 Chamelet;Chamelet;69620;Propriétaire maison de village;45-55 ans;Restauration volets bois;Sur mesure / dressing;99;À contacter;Non;;;;
LEAD-257;Mme;Aurélie;Roy;a.roy@yahoo.fr;07 80 23 32 92;78 Avenue de Lyon, 69640 Denicé;Denicé;69640;Propriétaire maison de village;45-55 ans;Remplacement fenêtres bois;Parquet & sol bois;99;À contacter;Non;;;;
LEAD-267;Mme;Mélanie;Picard;melanie.picard@outlook.fr;06 71 94 26 87;70 Rue des Amandiers, 69005 Lyon 5ème;Lyon 5ème;69005;Propriétaire villa;60-70 ans;Banquette sur mesure;Parquet & sol bois;99;À contacter;Non;;;;
LEAD-269;Mme;Marie;Gaillard;marie.gaillard67@gmail.com;06 98 50 62 56;14 Chemin de la Liberté, 69620 Saint-Vérand;Saint-Vérand;69620;Propriétaire maison de village;50-60 ans;Banquette sur mesure;Parquet & sol bois;99;À contacter;Non;;;;
LEAD-281;Mme;Béatrice;Lefebvre;beatricelefebvre@sfr.fr;07 40 44 70 88;44 Boulevard des Vignes, 69620 Sainte-Paule;Sainte-Paule;69620;Propriétaire villa;45-55 ans;Habillage mural bois;Menuiseries extérieures;99;À contacter;Non;;;;
LEAD-131;Mme;Sylvie;Leroy;sylvieleroy@gmail.com;06 92 92 63 57;115 Place des Acacias, 69640 Lacenas;Lacenas;69640;Propriétaire villa;35-45 ans;Pose de portes intérieures;Aménagement rangement;97;À contacter;Non;;;;
LEAD-012;Mme;Sylvie;Legrand;sylvie54@gmail.com;06 45 95 72 37;70 Chemin de la Source, 69009 Lyon 9ème;Lyon 9ème;69009;Propriétaire villa;45-55 ans;Claustra / séparation bois;Menuiseries extérieures;96;À contacter;Non;;;;
LEAD-047;Mme;Valérie;Morel;valeriemorel@orange.fr;06 62 67 98 86;61 Allée Victor Hugo, 69760 Limonest;Limonest;69760;Propriétaire maison ancienne;50-60 ans;Porte d'entrée bois sur mesure;Aménagement rangement;95;À contacter;Non;;;;
LEAD-096;Mme;Hélène;Gaillard;helene.gaillard@orange.fr;07 40 83 63 33;86 Avenue de la Côte, 69760 Limonest;Limonest;69760;Propriétaire maison;30-40 ans;Aménagement combles;Menuiseries extérieures;95;À contacter;Non;;;;
LEAD-110;M.;Vincent;Gérard;vincent.gerard@yahoo.fr;06 66 63 71 69;27 Boulevard Marcel Pagnol, 69470 Cours;Cours;69470;Propriétaire maison ancienne;55-65 ans;Remplacement fenêtres bois;Aménagement rangement;95;À contacter;Non;;;;
LEAD-039;M.;Dominique;Fontaine;dominique.fontaine91@yahoo.fr;06 76 93 44 88;104 Montée du 8 Mai 1945, 69510 Thurins;Thurins;69510;Propriétaire villa;50-60 ans;Rénovation cuisine bois;Parquet & sol bois;94;À contacter;Non;;;;
LEAD-124;M.;Frédéric;Robert;f.robert@hotmail.fr;06 11 48 82 87;14 Boulevard du Commerce, 69115 Chiroubles;Chiroubles;69115;Propriétaire duplex;65-75 ans;Rénovation cuisine bois;Sur mesure / dressing;94;À contacter;Non;;;;
LEAD-188;Mme;Brigitte;Roux;brigitteroux@gmail.com;07 69 50 62 25;69 Boulevard Gambetta, 01600 Massieux;Massieux;01600;Propriétaire maison ancienne;65-75 ans;Rénovation cuisine bois;Parquet & sol bois;94;À contacter;Non;;;;
